,symbol,shortName,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio,address2,industrySymbol
0,MMM,3M Company,92000.0,10.0,5.0,8.0,4.0,7.0,1685404800.0,1672444800.0,86400,2.0,96.06,95.0,93.28,95.37,96.06,95.0,93.28,95.37,6.0,0.0625,1684368000.0,0.6167,3.61,0.948979,9.645661,9.746346,1816915.0,1816915.0,3395514.0,3364390.0,3364390.0,0.0,0.0,1800.0,800.0,51509616640.0,93.28,152.3,1.5407741,102.437,115.985,5.97,0.062148657,66017632256.0,0.16314,551225363.0,551672000.0,11900558.0,13043151.0,1681430400.0,1684108800.0,0.0216,0.00123,0.68403,4.01,0.0216,0.0,27.73,3.3671117,1672444800.0,1703980800.0,1680220800.0,-0.249,5454000128.0,9.68,9.58,6.79,2:1,1064880000.0,1.975,9.652,-0.3439421,0.02542901,1.5,1684368000.0,-14400000.0,93.37,210.0,95.0,116.52,111.9,3.3,17.0,3968999936.0,7.194,6840000000.0,16940000256.0,0.815,1.417,33430999040.0,110.351,59.581,0.06742,0.36034,15000000000.0,3498249984.0,5855000064.0,-0.221,-0.09,0.42547,0.20459999,0.14962,4.4859,,
1,AOS,A.O. Smith Corporation,12000.0,9.0,10.0,8.0,10.0,10.0,1685404800.0,1672444800.0,86400,2.0,66.69,66.23,63.93,66.525,66.69,66.23,63.93,66.525,1.2,0.018,1682553600.0,0.7296,1.73,1.262843,40.245285,17.294596,362760.0,362760.0,1069560.0,708610.0,708610.0,0.0,0.0,1000.0,1100.0,9626783744.0,46.58,71.87,2.5722182,67.7642,61.1522,1.16,0.017393911,9912247296.0,0.06487,122299952.0,124538000.0,5304990.0,4781746.0,1681430400.0,1684108800.0,0.0353,0.00813,0.98175,4.33,0.0429,0.0,11.9,5.377311,1672444800.0,1703980800.0,1680220800.0,0.059,242800000.0,1.59,3.7,2.4,2:1,1475712000.0,2.648,13.479,0.10340834,0.02542901,0.3,1682553600.0,-14400000.0,63.99,82.0,59.0,71.25,71.5,2.9,8.0,496000000.0,3.297,735400000.0,375300000.0,1.209,1.835,3742599936.0,20.964,24.421,0.12177,0.13492,1329600000.0,309012512.0,494800000.0,0.105,-0.012,0.36394,0.19649,0.17624001,,Suite 170 PO Box 245008,
2,ABT,Abbott Laboratories,115000.0,7.0,6.0,5.0,2.0,4.0,1685404800.0,1672444800.0,86400,2.0,101.71,101.5,100.3797,101.63,101.71,101.5,100.3797,101.63,2.04,0.0201,1681344000.0,0.5836,1.53,0.662913,30.705166,21.8658,1202405.0,1202405.0,5173252.0,4363350.0,4363350.0,0.0,0.0,800.0,1100.0,175668723712.0,93.25,118.23,4.232471,105.6892,105.1581,1.96,0.019270476,184584273920.0,0.13984,1725748193.0,1738950016.0,12952898.0,12598207.0,1681430400.0,1684108800.0,0.0074,0.0055,0.76057,2.63,0.0075,0.0,21.283,4.746511,1672444800.0,1703980800.0,1680220800.0,-0.461,5776000000.0,3.29,4.62,-8.56,10000:4798,1357084800.0,4.447,17.217,-0.11618006,0.02542901,0.51,1681344000.0,-14400000.0,101.02,144.0,103.0,123.9,125.0,2.1,21.0,9532000256.0,5.481,10721000448.0,17025999872.0,1.07,1.678,41505001472.0,45.729,23.745,0.06318,0.15932,24579000000.0,6409874944.0,8659000320.0,-0.453,-0.181,0.55639,0.25831,0.18,10.5072,Abbott Park,
3,ABBV,AbbVie Inc.,50000.0,9.0,7.0,7.0,9.0,9.0,1682899200.0,1672444800.0,86400,2.0,136.44,136.62,135.7677,137.62,136.44,136.62,135.7677,137.62,5.92,0.043,1681344000.0,1.3435,4.44,0.55102,32.345882,12.418248,1692405.0,1692405.0,5740707.0,5594930.0,5594930.0,0.0,0.0,900.0,800.0,242536955904.0,134.09,168.11,4.274457,153.3418,150.70345,5.78,0.042362943,298463690752.0,0.13368,1761537388.0,1764290048.0,11973229.0,15143142.0,1681430400.0,1684108800.0,0.0068,0.0013,0.71465,2.2,0.0068,0.0,7.525,18.268438,1672444800.0,1703980800.0,1680220800.0,-0.947,7542000128.0,4.25,11.07,-2.99,,,5.26,10.11,-0.06560743,0.02542901,1.48,1681344000.0,-14400000.0,137.47,195.0,135.0,165.17,163.5,2.4,24.0,6721999872.0,3.81,29522999296.0,62461001728.0,0.659,0.96,56740999168.0,469.526,32.043,0.09443,0.51275,41527000000.0,21602875392.0,24227999744.0,-0.949,-0.097,0.70959,0.52031,0.36979,,,
4,ACN,Accenture plc,738000.0,1.0,3.0,3.0,4.0,1.0,1685404800.0,1672444800.0,86400,2.0,308.43,304.68,303.0,307.475,308.43,304.68,303.0,307.475,4.48,0.0145000005,1681257600.0,0.3849,1.4,1.241731,28.191603,24.337107,1292195.0,1292195.0,2683612.0,3023430.0,3023430.0,0.0,0.0,800.0,800.0,193505869824.0,242.8,322.88,3.0644968,278.4122,278.0693,4.33,0.014038842,192443695104.0,0.1099,630629207.0,631532032.0,8553996.0,6571587.0,1681430400.0,1684108800.0,0.0135,0.0014,0.77745,3.87,0.0136,0.0,37.643,8.133273,1661904000.0,1693440000.0,1677542400.0,-0.068,6939801088.0,10.86,12.58,2.96,,,3.048,17.986,0.032747388,0.02542901,1.12,1681257600.0,-14400000.0,306.1608,360.0,250.0,311.61,308.0,2.1,22.0,6242975744.0,9.885,10699594752.0,3208500992.0,1.146,1.288,63144419328.0,13.119,99.999,0.1311,0.30949,19701539000.0,8329611264.0,9680274432.0,-0.059,0.051,0.32119998,0.16945,0.15288,2.9116,Grand Canal Harbour,
5,ATVI,"Activision Blizzard, Inc",13000.0,10.0,7.0,7.0,3.0,8.0,1682899200.0,1672444800.0,86400,2.0,80.02,80.1,79.68,80.81,80.02,80.1,79.68,80.81,,,1649808000.0,0.2,0.6,0.416256,33.35208,18.658508,2794321.0,2794321.0,7457366.0,6175760.0,6175760.0,79.95,79.99,800.0,800.0,62928093184.0,70.94,87.01,7.7278757,80.9768,77.17765,0.0,0.0,52887244800.0,0.22817,730608751.0,786158976.0,23952950.0,20115650.0,1681430400.0,1684108800.0,0.0305,0.00856,0.84724,2.54,0.0307,0.0,25.589,3.1281018,1672444800.0,1703980800.0,1680220800.0,0.873,1858000000.0,2.4,4.29,1.68,2:1,1220832000.0,6.495,25.293,0.03371656,0.02542901,0.47,1649808000.0,-14400000.0,80.045,100.0,82.0,91.14,90.0,2.0,21.0,12563000320.0,15.98,2091000064.0,3611000064.0,4.731,5.154,8143000064.0,17.952,10.396,0.047420003,0.09793,5306000000.0,1814000000.0,2155000064.0,0.86,0.348,0.70428,0.25678,0.24414,1.9855,,
6,ADM,Archer-Daniels-Midland Company,40360.0,5.0,5.0,2.0,5.0,4.0,1682899200.0,1672444800.0,86400,2.0,71.43,70.95,70.3384,71.365,71.43,70.95,70.3384,71.365,1.8,0.0247,1684195200.0,0.207,2.68,0.799788,8.849436,10.686363,824462.0,824462.0,2777946.0,2932320.0,2932320.0,0.0,0.0,900.0,800.0,38413107200.0,70.02,98.28,0.37668034,77.2128,84.94025,1.65,0.023099538,50599288832.0,0.0437,541072905.0,544635008.0,5278843.0,6673904.0,1681430400.0,1684108800.0,0.0097,0.00672,0.83406997,1.94,0.011,0.0,45.615,1.5462018,1672444800.0,1703980800.0,1680220800.0,0.11,4456000000.0,7.97,6.6,-17.88,105:100,999129600.0,0.496,9.375,-0.17583936,0.02542901,0.45,1684195200.0,-14400000.0,70.53,117.0,82.0,97.08,96.0,2.2,12.0,899000000.0,1.651,5397000192.0,11550000128.0,0.335,1.51,101977997312.0,45.839,182.756,0.04414,0.18178,7570000000.0,3832499968.0,3073999872.0,0.14,0.018,0.07603,0.05292,0.04282,,Suite 4600,
7,ADBE,Adobe Inc.,29239.0,4.0,5.0,5.0,1.0,2.0,1682899200.0,1672444800.0,86400,2.0,417.21,413.9,410.701,417.17,417.21,413.9,410.701,417.17,,,1111622400.0,0.0,,1.306826,38.598976,23.598011,1497643.0,1497643.0,3225023.0,4132290.0,4132290.0,414.79,415.03,1000.0,1100.0,190509580288.0,274.73,451.15,10.584454,369.6708,347.79736,0.0,0.0,189012393984.0,0.26318002,457310139.0,458700000.0,5920582.0,5192651.0,1681430400.0,1684108800.0,0.0128999995,0.0029199999,0.85696,2.08,0.0128999995,0.0,30.95,13.419225,1669939200.0,1701475200.0,1677801600.0,-0.015,4736999936.0,10.76,17.6,1.93,2:1,1116892800.0,10.501,28.123,-0.002271831,0.02542901,0.0065,1111622400.0,-14400000.0,415.325,480.0,321.0,400.93,403.0,2.2,30.0,5653000192.0,12.324,6720999936.0,4126000128.0,1.002,1.122,17998999552.0,29.044,38.616,0.14494,0.33859003,15441000000.0,6525499904.0,7761999872.0,0.019,0.092,0.8766,0.37341,0.33912998,1.568,,
8,ADP,"Automatic Data Processing, Inc.",60000.0,2.0,2.0,7.0,3.0,2.0,1685404800.0,1672444800.0,86400,2.0,210.12,210.45,206.17,210.51,210.12,210.45,206.17,210.51,5.0,0.0238,1686182400.0,0.5857,1.94,0.815622,26.52046,23.197989,840361.0,840361.0,1835333.0,1709090.0,1709090.0,207.29,207.41,800.0,900.0,85677580288.0,196.61,274.92,4.8509283,215.2186,232.77415,4.58,0.021797068,88365850624.0,0.18462,412424582.0,413123008.0,5148054.0,4317460.0,1681430400.0,1684108800.0,0.0125,0.00113,0.83584,3.37,0.0125,0.0,8.933,23.216166,1656547200.0,1688083200.0,1680220800.0,0.123,3260800000.0,7.82,8.94,1.9,1139:1000,1412121600.0,5.003,18.116,-0.04194784,0.02542901,1.25,1678320000.0,-14400000.0,207.39,275.0,180.0,231.19,235.0,3.0,16.0,1854700032.0,4.489,4877899776.0,3415200000.0,0.096,1.0,17662099456.0,92.458,42.6,0.041100003,0.82691,7447100000.0,4799537664.0,3934799872.0,0.136,0.092,0.46707,0.27618,0.24564,2.3427,,
9,AAP,Advance Auto Parts Inc.,40000.0,2.0,6.0,9.0,1.0,5.0,1685404800.0,1672444800.0,86400,2.0,112.2,79.23,73.0101,80.8,112.2,79.23,73.0101,80.8,6.0,0.0535,1681344000.0,0.72550005,1.14,1.119985,8.846433,6.356212,11139483.0,11139483.0,1326190.0,1225430.0,1225430.0,0.0,0.0,1300.0,800.0,4348169728.0,73.0101,212.25,0.38980532,120.9752,149.92625,6.0,0.05347594,10403173376.0,0.04499,58632486.0,59273800.0,2133705.0,2211665.0,1681430400.0,1684108800.0,0.0359,0.00949,0.97156996,2.19,0.041500002,0.0,45.495,1.608089,1672444800.0,1703980800.0,1672444800.0,0.306,501872000.0,8.27,11.51,3.23,3:2,1127692800.0,0.933,10.026,-0.40211022,0.02542901,1.5,1681344000.0,-14400000.0,73.16,180.0,103.0,142.03,141.0,2.7,20.0,269281984.0,4.573,1037604992.0,4066144000.0,0.18,1.126,11154721792.0,151.819,184.831,0.03891,0.17286,4964672000.0,300170624.0,722222016.0,0.383,0.032,0.44507,0.09302,0.06758,1.1833,,
