,symbol,marketCapPredNN,marketCap,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
0,MMM,47828886000.0,53479084032.0,0.25157169506864463,0.9081653802812041,0.5181658180816302,-0.15119703505804868,-0.5023846629222238,0.18048370324989121,0.21269736069110576,-0.022769928409169485,-0.2577086300714306,-0.562982824280393,-0.2088337698163236,-0.2088337698163236,-0.14882673884181832,-0.14300121190766385,-0.14300121190766385,-0.22422913514995976,-0.23167265072259435,-0.1575392739252948,-0.18780091246277614,-0.161785042417968,-0.14331336375407608,-0.5679733114996559,-0.21198781328952523,-0.17547884814206402,1.5183388298135372,1.9924233307761157,-0.06448463248241253,0.2028973420880382,-0.07839891148905453,-0.08936673863154912,0.1073924082987105,0.10943232246716238,-0.0894637905279857,-0.11916516536496019,-0.05866442822479206,-0.3891615262590767,-1.2974162737433101,0.36222472891602187,-0.24016970941457086,-0.054903961698525544,-0.14604664145265797,-0.085077932988496,0.37933815161264156,0.37921833666502197,0.14486691039472757,-0.22067647599949225,0.2720017288761724,0.08786268733350192,-0.05577061182000246,0.031419473917254,-0.5746134629882942,-0.15435355388293792,-1.2098855887072881,0.9989852863951886,0.7267245950024538,-0.22811689982004102,-0.08689599318565377,-0.21822505779746518,-0.2395815098309414,-0.25168397109449564,2.5669004107384725,-0.06262068477805423,-0.11887611879197281,-0.11525509721185763,0.06163156022068944,-0.08893726489356701,-0.13887272560098243,-0.1296322938596543,0.02341084451793879,-0.13530453903354847,-0.12366317415980337,-0.017174476727875216,0.002700542122804742,0.13003500864131287,0.12082485097242492,0.04755491048239687,-0.2131240551828585,-0.6350001380700876,-0.013496919852490097,-0.26005208947468583,-0.37912354677959886
1,AOS,15656737000.0,10029967360.0,-0.32415387285947556,-1.211429373402983,1.572040658140942,0.5548091998691913,1.5853267107925864,1.5800112987388044,0.19414019067351623,-0.005063628567945136,0.4842653127732971,-0.06696414488166526,-0.3316995945328949,-0.3316995945328949,-0.380079221152646,-0.40135773975188604,-0.40135773975188604,-0.3164059628534869,-0.31709608388302646,-0.1264102711015792,-0.06105779152622774,-0.3808381456263789,-0.3658638007254728,-0.2802682437197665,-0.31577775749457226,-0.3628545581223533,-0.3787237081169575,-0.1830241490111302,-0.3406989463438754,-0.45472013712354886,-0.39579467503771326,-0.42790310353437216,-0.3618503359904593,-0.3689836593128226,0.09124416446883368,0.10009350662710094,0.588350392974844,-0.30310137836866907,1.0407341873164366,0.6134538383585231,0.4799953482427733,-0.054903961698525544,-0.3841796412419358,-0.0792805949994481,0.37933815161264156,0.37921833666502197,0.14486691039472757,-0.10542718712720033,-0.36946463783536787,-0.2533035554551057,-0.2822528726988004,-0.030945462268641047,-0.4287226776960699,-0.06934362804784754,0.5354918055988903,0.9989852863951886,-0.4424048220748575,-0.31826644463507137,-0.36838830296772934,-0.3063677436416753,-0.33935132330045453,-0.3387729516298543,1.4885913883505064,-1.299644763671363,-0.15216032862516812,-0.14367789754930946,-0.4468469660440055,-0.3442512580753962,-0.0029875883873651896,0.009859080928563545,-0.45424838747699625,-0.19518313258725511,-0.2993251876445425,0.9591016994644103,-0.12387636526125236,-0.4545216456263685,-0.32475453741805654,-0.4327954648947776,-0.09014601481067286,-0.3452415491084397,-0.2807263504776552,-0.3070526569193921,-0.18359835735624155
2,ABT,171822060000.0,178885787648.0,0.4170927958479792,0.9081653802812041,1.2207490447878382,1.2608154347964313,-1.198288454160494,0.8802475009943478,0.18176874399512324,-0.027961057946322063,-0.933968149907474,0.22864582013468052,-0.142047456771726,-0.142047456771726,0.028243467015090788,-0.07036890891264015,-0.07036890891264015,-0.20629925543859626,-0.21358923975954194,-0.1264102711015792,-0.06105779152622774,-0.17121730644785652,-0.23758531933800606,0.15385767713462428,-0.20368646988351524,-0.21361125180210125,-0.06320395128860073,-0.09697493711742892,0.4771876670282171,0.046975013140953766,0.7907232269360375,0.8516418995608585,0.15177903566652165,0.09238147126224949,0.09124416446883368,0.10009350662710094,-0.8002429540612982,-0.33590401444863605,-0.6963077278293208,-0.2763159242503356,-0.7575698479256725,-0.054903961698525544,-0.24302980314826594,-0.08139704214947122,0.37933815161264156,0.37921833666502197,0.14486691039472757,-0.300003908599901,0.31163791303720817,-0.1816122559816035,-0.24218293423562842,-0.15511043485613862,0.0367505446086666,0.028886094119448338,-0.3064046426316375,0.9989852863951886,-0.237807174086328,-0.21045628532538854,-0.21424130414694956,-0.17404846090045234,-0.1949582698167917,-0.19014323392652074,-0.9376039120224178,0.48716779473008304,-0.06556196003438028,-0.1277488762670424,0.3848968664212039,-0.08761174103658621,-0.05092676116069715,-0.042533612472752745,0.1533141709749974,-0.1785935460773874,-0.3027025346614846,-0.09333659240506535,-0.110175378036645,0.5396403011879918,0.5276180359545622,0.29883332536346,-0.300642169803555,-0.9730518251920103,0.5550985142031999,0.05121844815370118,-0.15598105905395213
3,ABBV,247293030000.0,242695733248.0,-0.05068422809361848,1.2614311725619018,0.5181658180816302,0.5548091998691913,1.2373748151734514,1.230129399866576,0.18176874399512324,0.09121535701688768,-1.1984830047067665,-0.3915457678762645,0.18253379882854975,0.18253379882854975,0.0793136407221872,0.019377357284537343,0.019377357284537343,-0.10383430438493349,-0.10919595392218229,-0.18866827674901035,-0.25117247293105033,0.012217771161975411,-0.0995669705112838,0.14514170723504927,-0.05963049855964262,-0.05971290564057084,1.4434028875668028,1.0141062163020775,1.0132863118959197,0.005752629178977832,0.8172064768962894,0.8717258130863591,0.08598499461610332,0.24259577778537694,0.09124416446883368,0.10009350662710094,-0.8301051765782045,-0.3882884522949711,-1.056941441291176,-0.5013753347925761,-0.7820414760984948,-0.054903961698525544,-0.4499934046075764,-0.04439235814616197,0.37933815161264156,0.37921833666502197,0.14486691039472757,-0.48185830597630963,0.5290215593941257,-0.14070604392907576,0.005205381493520065,-0.09760363681515931,0.24793510793377455,-0.15266917828848697,-0.11139010515025108,0.9989852863951886,0.7072391047178319,-0.10714317962226985,-0.12157906792032919,-0.10638519131687242,-0.11715019570285522,-0.12321969076604676,0.1407051103655484,0.899509154361186,-0.09249217717689376,-0.13993632798987585,1.9509966379150825,0.6126841637973938,-0.19267496267033338,-0.28213841414246665,0.3984474613438751,0.1052997304872161,-0.26124510042097365,0.46799975545158445,0.08828117584831334,1.2643496130244167,2.650284631612871,1.6940377259963342,-0.4877498631305614,-0.6610041140025432,1.2204576686282815,1.5696110319316126,1.2380351603486324
4,ACN,192094110000.0,191887343616.0,4.9005556560882155,-1.564695165683681,-0.8870006353307858,-0.5042001525216686,-0.5023846629222238,-1.5689257911112502,0.18088506923238087,-0.05912351834004463,0.4343565819811772,0.35860931590344414,-0.047052935939532435,-0.047052935939532435,-0.23230671087708046,-0.2255293930467419,-0.2255293930467419,0.39189862189674524,0.38319287007831604,-0.18866827674901035,-0.18780091246277614,0.5004946391092043,0.32868282595847953,-0.18467784005024968,0.3030124771235688,0.3711630671392645,0.8715233283154061,-0.31163376124043873,0.4612635395784106,-0.15338183358332538,-0.019641740548024453,-0.026071555072518172,-0.1436488473886402,-0.26333863317201317,0.09124416446883368,0.10009350662710094,-0.4966436918060843,-0.38704120377482026,-0.5637402826368966,0.37269260847612606,-0.5443170881339348,-0.054903961698525544,0.0030760639744495015,-0.07250342678796913,-1.702383788797479,-1.7022259120167973,-1.8752069870172625,-0.15294880948687914,0.45489459809198285,0.13720316991232404,0.10450914203268527,-0.026313284037442326,-0.36725470696980067,0.021612654052501245,0.02893168745471554,0.9989852863951886,0.35650027959463865,0.38735402622799914,0.32278694980931544,0.26801823371226985,0.30755108742337023,0.294577106691558,-0.6680266564254259,0.6246149146071174,-0.09708300351876772,-0.09562826741763569,0.3831138934572505,-0.30058274324717116,-0.024715414896141603,-0.1726810674186976,0.5014726445156542,-0.20043834381963596,0.07826820414014503,1.1266942794804915,-0.025852539859624966,0.33107637595675504,0.7958310313324722,0.3903540516805497,-0.15201226824944108,-0.11120576571633946,-0.4663494808125838,-0.46376004419173833,-0.3551786978663137
5,ATVI,60257346000.0,61839269888.0,-0.3169573032603741,1.6146969648425997,0.5181658180816302,0.5548091998691913,-0.8503365585413588,0.8802475009943478,-0.14077254440583728,-0.08812170116238636,-1.5170648631981096,-0.04491886405512281,0.019759849794479107,0.019759849794479107,0.2421633386399221,0.21022319639243872,0.21022319639243872,-0.2785242601133922,-0.28518418218352226,-0.0018942598067169403,-0.12442935199450195,-0.2714238828796721,-0.32397130270549335,1.028531222324141,-0.2765191230931379,-0.3084591891848583,-0.8362273555180747,-1.0442608431844256,-0.13875818610499246,0.638074554595716,0.05434101471271882,0.09648212489159705,0.822488205668813,0.42153303279709714,-0.0894637905279857,-0.11916516536496019,0.2847511307196302,-0.29773820973202053,-0.015643007756607187,-0.28154986403038756,0.008042519195484597,-0.054903961698525544,-0.1782540168505635,-0.08623889266605315,0.37933815161264156,0.37921833666502197,0.14486691039472757,0.19916021917814258,-0.17064355054964084,-0.22083161392887232,-0.25655584694524447,-0.039644918946745974,0.5642018452805545,0.2370340842458359,0.13750390530906464,0.9989852863951886,-0.27677815465557176,-0.28255805209023444,-0.3236359484713739,-0.23720084584512693,-0.2858195836212364,-0.2892297123954098,-0.9376039120224178,0.48716779473008304,-0.03651374696392532,-0.051174336687133004,-0.3339331759927251,-0.2943789699378969,1.211701379293751,1.1174472936608484,-0.38344996758753513,-0.19720081215792828,-0.36939514609515306,-0.37642968546784156,-0.14464683728740918,-0.284487770975297,-0.11448753462323705,-0.28401786062220524,0.19466509095926626,0.9921057845607046,1.197395938145271,0.04235149909576161,0.31513017079209754
6,ADM,35335967000.0,39611305984.0,-0.12005915902895696,-0.15163199656088952,-0.18441740862457778,-1.2102063874489086,-0.1544327673030888,-0.5192800944945654,0.21093001116562105,-0.08702387920588886,-0.6103958911365663,-0.5541046756454786,-0.2309000800773278,-0.2309000800773278,-0.20820842337099052,-0.1934865787833983,-0.1934865787833983,-0.29618652967980996,-0.30276527617537874,-0.18866827674901035,-0.25117247293105033,-0.2755561128356233,-0.29278712485310443,-0.8905660314238789,-0.28731193805771654,-0.28185625618324595,-0.185467857059589,0.06063026033763443,-0.1483762460473911,-0.5963886222655993,-0.0859115164226095,-0.09494409302508897,-0.3636063543919248,-0.2572993916194679,0.09124416446883368,0.10009350662710094,-0.6857711010798241,-0.32068758250279583,-0.11907412329023127,-0.637457769073931,-0.6352117070615607,-0.054903961698525544,0.12300002318608079,-0.09031045302269629,0.37933815161264156,0.37921833666502197,0.14486691039472757,-0.0863437009827624,0.14915411213505383,0.01574967433368498,-0.15594545797793233,-0.25995583482083173,-0.9742827996192653,-0.17048272624192232,-0.4915185655736067,0.9989852863951886,-0.2962636449401936,-0.3002186665848869,-0.2813698358914827,-0.23720084584512693,-0.2698327292373975,-0.2731616348058602,-0.3984494008284341,-0.7498562841632258,-0.1482980951641947,-0.15568301157431477,-0.058562132367207836,-0.17201407489692278,-0.30441807042975466,-0.09859713152639052,1.1262694538846603,-0.17851985924047703,0.4917284217157013,-0.43534760242716497,-0.09756373159956788,-0.187677416833353,0.16752407131829955,-0.20166237062675732,-0.07694285096703328,-0.23379593796934434,-1.5311411948022324,-1.1390970204804405,-1.1635744252884561
7,ADBE,190310040000.0,190539399168.0,-0.20009220954056478,-0.5048977888415874,-0.18441740862457778,-0.15119703505804868,-1.5462403497796289,-1.2190438922390219,-5.645182641527982,-0.11948804277660134,0.5882410472574677,0.44501879055915106,0.2211382210532629,0.2211382210532629,-0.17855218196327236,-0.11292396785791381,-0.11292396785791381,0.7225160887469124,0.7203362019221523,-0.18866827674901035,-0.18780091246277614,0.6439099679065092,0.6836069158543027,1.8253741282781986,0.5731664721615309,0.607329397604369,-0.8362273555180747,-1.0442608431844256,0.4444577213097328,0.872359698582154,-0.14789419776931484,-0.16305415971660736,-0.32050750967023367,-0.34473006948758717,0.09124416446883368,0.10009350662710094,-0.526505939208176,-0.36808302751577604,0.060693222531921914,-0.5641826121532014,-0.5687887337864914,-0.054903961698525544,-0.09760771161554652,-0.05776403450765744,-0.11549739159960022,-0.11555119785770557,-1.6797159646870699,-0.13311695133677695,0.18374345884304027,0.13931173754389767,0.26957986678857837,-0.03433486097439622,1.424753435448325,0.2647752398695955,-0.14564524245767616,0.9989852863951886,-0.7283543920016833,0.7202849021735638,0.5371258654276931,0.41356944472761503,0.4661546781371121,0.46554145224436544,-0.3984494008284341,1.7241918736233919,-0.10273715567283884,-0.0778394016175215,0.05171953041232781,-0.28644120343462975,-0.07437901834477324,-0.22807716362645875,-0.2248759357076465,-0.18977049947602026,-0.22840589636422762,1.3752989212192448,-0.009512411201194998,0.14889250253556963,0.543772398686029,0.21844929178901962,-0.12258807454075862,0.04110323617375754,1.9457946946108722,0.7182680145385775,1.0128359129319737
8,ADP,88282130000.0,87780376576.0,0.021281467897396548,-0.8581635811222853,-0.5357090219776818,-0.5042001525216686,-0.8503365585413588,-1.2190438922390219,0.23125453070869526,-0.02763171135937281,-0.5729643430424767,0.3331214478760425,-0.23443636421792519,-0.23443636421792519,-0.30603467079663865,-0.32513030885701216,-0.32513030885701216,0.11474371511462388,0.11906278740066034,-0.18866827674901035,-0.25117247293105033,0.2930297459946564,0.195977132098624,0.3296360798502752,0.12230213294875995,0.21902508387031047,0.9701232523242675,0.030323732993287864,0.02570415072264902,0.3466403303190842,-0.18110856388277843,-0.19917741189247032,-0.37239007301009397,-0.396388052556028,0.09124416446883368,0.10009350662710094,-0.5464140626675947,-0.3904087747792275,-0.10517315439130097,0.11099561947352063,-0.5827725038340841,-0.054903961698525544,-0.42881265516327427,-0.02924159546167136,-2.760308053596065,-2.760009054789525,0.14486691039472757,-0.08147928294594486,0.0020324160454668096,0.009845684965278928,-0.05402844058247328,-0.03670744006842483,0.17575487674898518,0.05062985179326911,-0.061888470416109495,0.9989852863951886,0.48315596644468056,0.11598215561202395,0.11145638690985929,0.05751028389668785,0.09110953362735594,0.09908216268537157,1.7581686439474982,-0.20006780465508853,-0.13913894716855263,-0.13498403611686333,-0.10180025026372358,-0.2973968631344243,-0.3868458567090808,-0.2687899572249339,-0.23029635061619905,-0.14729070787752435,-0.20850153169633226,-0.4899543484583704,0.26468700152383184,-0.19293271388460959,0.3026322496578711,-0.12452241350058395,-0.07845178397773495,0.04110323617375754,0.1671750176415267,0.1547820949938205,0.3261477393104804
9,AAP,9614950000.0,6665489408.0,-0.1226499240846335,-0.5048977888415874,-0.5357090219776818,1.2608154347964313,-1.198288454160494,0.18048370324989121,0.18176874399512324,-0.00570663072945115,0.14654925254685483,-0.642913027301206,-0.2761151221529622,-0.2761151221529622,-0.352405248520699,-0.3753569667009627,-0.3753569667009627,-0.1855743364355774,-0.18667095971486755,-0.03302326263043251,-0.18780091246277614,-0.10025074850869531,0.022568753570743408,-0.8348716061769769,-0.15679432755460077,-0.05965710806156454,1.5301708206946008,1.6093061736150902,-0.3384293505224767,-0.5877560126371985,-0.4429072579391685,-0.47962997385209644,-0.5748321241991052,-0.520682203724867,0.09124416446883368,0.10009350662710094,0.6182126154917504,-0.28613879849461776,0.9607850229351158,-0.5066092745726283,0.4310521618160662,-0.054903961698525544,0.12119484567662316,-0.08791444428535414,0.37933815161264156,0.37921833666502197,-5.71986375951105,-0.013003244427667534,-0.33757448384497174,0.028401080123126542,0.057906061428778764,-0.0216811058062436,-0.8648647106500971,-0.15726292990971671,-1.4931973620944683,0.9989852863951886,0.7267245950024538,-0.18281876382279583,-0.12473659515423874,-0.17404846090045234,-0.14481768106747878,-0.14729502702105524,0.9494368771565239,0.3497206748530487,-0.15433312740333366,-0.13437138145216074,-0.4216750057252305,-0.28736377413134656,-0.3578754213640457,-0.22674231793470553,-0.3349941150998503,-0.10752594127900802,0.5020952783135634,-0.5292928536044539,-0.10257245315872761,-0.2990832146849089,-0.3259898681458077,-0.41241520866361137,0.014724829433092829,-0.18178798610443317,0.0716273583898833,-0.9067018196808441,-0.9817110942783502
